station_nm,site_no,N_samples,B1,B2,B3,B4,B2.B1,B3.B1,B4.B1,B3.B2,B4.B2,B4.B3,B4.B3.B1,Latitude,Longitude
150098186,1043,326,222.5,212.5,155,241.5,0.9612908056304283,0.7025126156433978,1.0899581589958158,0.7417881774950399,1.1343358395989975,1.5410676849356095,0.0067416383855849376,45.0584402614873,-68.1375567341419
150098145,1062,344,250,253,173,273,0.9702536152812395,0.6854454180686256,1.0768308080808082,0.7061652258502652,1.0573435631725787,1.5927933673469388,0.006186686480582959,45.11262725748877,-68.18995563062096
150098086,1076,349,235,231,158,259,1,0.6931818181818182,1.1464646464646464,0.6932270916334662,1.1310975609756098,1.6553398058252426,0.007099450742082506,45.146904367286616,-68.09399577595079
152244116,1082,508,241,253,187.5,308,1.0508405993839085,0.7787477117092685,1.2553968007454572,0.7440078304048892,1.1915584415584415,1.5894405450041287,0.006581471573672368,45.15830182957923,-67.89468287706386
152243956,1143,519,238,250,184,295,1.0491803278688525,0.7773109243697479,1.2584745762711864,0.7317073170731707,1.1937321937321936,1.5793650793650793,0.006382506382506382,45.321032263423675,-68.0502207809091
152243956,1146,495,237,251,178,285,1.0509803921568628,0.768361581920904,1.2213438735177866,0.7254004576659039,1.1595744680851063,1.595959595959596,0.006663579294020789,45.32379690607681,-68.05419829904878
152244096,1111,490,233,239,172.5,270,1.0042448455446957,0.75,1.105263157894737,0.7427365883062086,1.0888937664618086,1.486317506342878,0.006038874219372145,45.233999529062515,-68.01318348755919
150098186,1051,350,222,215.5,153.5,239.5,0.9793876815325986,0.7116483639623488,1.094510898458267,0.7381713648763604,1.1220455343743014,1.5545711733174508,0.006787439898986657,45.090327293120495,-68.14319303787344
150098186,1069,338,235,237,177,282,0.9873656771997021,0.719132184797753,1.241362947821802,0.7304582149965337,1.2244375251104862,1.6594739901191513,0.006817723435038705,45.12872461229171,-68.18477861429788
151717370,810,335,241,234,167,253,0.9719298245614035,0.7052631578947368,1.0728155339805825,0.7252747252747253,1.086092715231788,1.5333333333333334,0.005745341614906832,44.62745476736859,-68.45340823906062
151717370,815,318,251.5,252,182.5,272.5,0.986524500907441,0.7360027041976522,1.0932159752840087,0.7294727855960265,1.1305507246376811,1.5903263403263401,0.006186822555109,44.63345225828548,-68.47872255574104
{AF8981CC-D81F-4D0B-869C-1E32FD584230},825,350,287,328.5,292.5,267.5,1.1071556470746229,0.980898108046501,0.9509734205619291,0.8821701463624623,0.8610667227361929,1.0071869110844611,0.003229284476004166,44.655301853447355,-68.41130094781293
151716807,849,326,281.5,307.5,201,301,1.063186051119477,0.7137706398348813,1.0899289389855427,0.6551782549775879,1.0013698630136987,1.5332824893227577,0.005373836920862803,44.696914184478125,-67.89283235012668
151716032,887,167,244,243,182,233,0.9833333333333333,0.7587548638132295,0.9948453608247423,0.7645875251509054,1,1.3010752688172043,0.005496629020483531,44.76396122791773,-67.3511675087604
151716032,893,170,235.5,238.5,181.5,229,0.9787913486005089,0.7439945339470655,0.9849110185535781,0.7762370895637429,1.0096879366557987,1.319217877094972,0.005230780182472933,44.7815791361799,-67.36926254083528
