station_nm,site_no,N_samples,B1,B2,B3,B4,B2.B1,B3.B1,B4.B1,B3.B2,B4.B2,B4.B3,B4.B3.B1,Latitude,Longitude,cluster
151716328,912,331,235,244,170,292,1.0314465408805,0.745205479452055,1.29302325581395,0.719178082191781,1.22368421052632,1.69346733668342,0.00721288515406162,44.8143981199333,-68.0089027505479,5
151716379,913,350,233,230.5,171,299,1.02064216693297,0.756425009589567,1.44416040189546,0.753449029277733,1.3869381385305,1.84537422037422,0.0078181217473942,44.8187368252583,-68.0441831580828,4
151716328,915,330,227,227.5,160.5,286,1.02693086165906,0.743932930725971,1.32770983879933,0.725340517886544,1.27006888478682,1.75423094904161,0.00732301894061555,44.8193432630015,-68.0119884484769,4
151716299,923,328,238,245,166.5,280,1.01483797111659,0.72840591074398,1.21375398794754,0.714024024024024,1.190423954334,1.65715866500089,0.00689988903604539,44.8421025147783,-68.1345334636277,5
151715837,925,292,227,239.5,159.5,270.5,1.04290974754807,0.761838807545179,1.23884626314294,0.725603309584004,1.1531425891182,1.62192192192192,0.00706652654704603,44.8453442812442,-67.5683792392759,5
151716299,932,334,242.5,244,174,284,1,0.705400192864031,1.18257422402159,0.709485815602837,1.18219539796303,1.65153074350399,0.00657555721115043,44.855261321987,-68.1473355427521,5
151716230,933,333,248,247,183,310,0.994525547445255,0.758503401360544,1.2289156626506,0.76,1.21917808219178,1.61068702290076,0.00626546502917073,44.8574016904927,-67.9828036320821,5
151715617,949,296,213.5,235.5,167.5,277.5,1.05723384895359,0.767741548789259,1.27072463768116,0.723038289564834,1.18819566960706,1.70187067314774,0.00729714373006647,44.889966505486,-67.5617530151104,5
151716176,950,337,234,243,171,289,0.993589743589744,0.717948717948718,1.22885572139304,0.707317073170732,1.23414634146341,1.73076923076923,0.00710077845571218,44.8964054474072,-68.2251736107411,5
151716010,956,353,238,250,165,276,1.02840909090909,0.713286713286713,1.22820037105751,0.698795180722892,1.18490566037736,1.68372093023256,0.00702487184355421,44.9100057056202,-68.0039620665807,5
151716010,964,330,247.5,257,181,287,1.01307692307692,0.717175121126187,1.1589981708175,0.705069124423963,1.1370083010053,1.60526315789474,0.006346855066856,44.9245512932565,-68.0149002414648,5
151715391,979,204,240,246,171,243,0.996370107676098,0.725148954280156,1.01129785247432,0.714783838190184,0.998349834983498,1.41291666666667,0.00573971616538472,44.9406129752511,-67.4111290406261,6
151716071,981,341,256,260,173,288,1.02272727272727,0.703614457831325,1.16733870967742,0.696261682242991,1.1271186440678,1.66442953020134,0.0064909658195973,44.9438993327274,-68.2153591293224,5
151715391,987,207,229,236,166,254,1.003125,0.710884353741497,1.13170731707317,0.706365503080082,1.12,1.58139534883721,0.00649092970521542,44.9474978272776,-67.4022197567213,5
151716043,994,344,225.5,229.5,178.5,327.5,1.01755899994873,0.758133874239351,1.45353171208603,0.768117159498208,1.43529350971476,1.88901463311928,0.00781795547544618,44.9588105666502,-68.2893177793949,4
151715467,1031,312,214.5,223.5,165,273.5,1.00413393964448,0.769858044164038,1.22320550639135,0.764588470118586,1.21102214368546,1.56904761904762,0.00726229843441169,45.0382182382099,-67.9670853008687,5
151715742,1034,330,221.5,224,160.5,270,0.979150970733121,0.722257224391608,1.26739678073677,0.749622356495468,1.28800994864175,1.72170829170829,0.00783992045936375,45.0407019574967,-68.2652074199989,4
151715499,1037,327,216,227,162,280,1.01845018450185,0.73374613003096,1.36111111111111,0.724719101123596,1.29411764705882,1.79581151832461,0.00802944766554776,45.0466682347062,-68.0748885279368,4
151715316,1042,303,228,247,186,274,1.02702702702703,0.789090909090909,1.15942028985507,0.779527559055118,1.13259668508287,1.48648648648649,0.00617445907890364,45.058328783961,-67.5740958068264,6
150098138,1057,339,214,225,155,264,1.03344481605351,0.742160278745645,1.20987654320988,0.728888888888889,1.16129032258065,1.59574468085106,0.00732816711590297,45.1044448070557,-68.07240480865,5
151715282,1075,482,237,241,182.5,298.5,1.01296763345944,0.784570646017549,1.24182398083088,0.773483184045969,1.22286189420336,1.61348484848485,0.00673233951290902,45.1434797776776,-67.9311672418832,5
151715315,1085,515,211,217,160,269,1.01420454545455,0.772657450076805,1.26,0.755760368663594,1.20689655172414,1.61904761904762,0.00771533855366191,45.1630061811906,-67.9857823115858,5
152243956,1139,518,228,232,164,285,1.05156457715513,0.779574098218166,1.3148344608093,0.738454106280193,1.23836722488038,1.64678338360837,0.00729268572532821,45.3099870701143,-68.0549429689247,5
152244096,1096,510,234.5,240.5,176,259.5,1.01481562774363,0.753409841975605,1.13232975511573,0.72890870130864,1.08257202145148,1.48350103199174,0.00627095073200134,45.1962710750493,-67.919644924761,6
152244096,1097,500,235,243,177.5,258.5,1.01500037500938,0.743514788706128,1.12298212557926,0.737065120428189,1.07641328022291,1.4685726298087,0.00617729339327472,45.1963513388683,-67.9194442652137,6
151717936,649,367,222,214,143,214,0.987124463519313,0.653409090909091,0.98744769874477,0.671686746987952,1.01197604790419,1.48965517241379,0.0063545892494929,44.3383712460737,-68.372422045728,6
151716010,960,326,247,248.5,175,276.5,1.00573862141542,0.704601156069364,1.16655174451821,0.714619492656876,1.15080838554962,1.59641525636729,0.00626877506757352,44.9187767573923,-68.0126974455444,5
{5714269B-A908-4A4A-9600-DEB750322D32},1002,303,231,235,178,282,1.02727272727273,0.782608695652174,1.28213166144201,0.760869565217391,1.22147651006711,1.58163265306122,0.00673014753423852,44.9703507201765,-67.7181024753474,5
