site_no,station_nm,N_samples,B1,B2,B3,B4,B2.B1,B3.B1,B4.B1,B3.B2,B4.B2,B4.B3,B4.B3.B1,Latitude,Longitude,cluster_sel,cluster
106570913,106570913,1,244,243,173,294.5,1,0.728852175790951,1.25372397020824,0.753731343283582,1.2750754147813,1.72551824906396,0.00707179610272113,45.3608698722352,-70.3631654155336,1,1
106571295,106571295,5,260,263,209,341,0.979489497697694,0.771906556843036,1.33411764705882,0.790027624309392,1.33527821619262,1.69962676619568,0.00652447894892776,45.3421113259235,-70.6761140456665,1,1
106571309,106571309,1,247.5,254.5,183,308,0.98621997471555,0.71654431663122,1.25993806711796,0.726125171602554,1.28548174905791,1.79094013202823,0.00723612174556859,45.2360774701534,-70.2657385166169,1,1
106571465,106571465,1,275,286.5,237.5,353.5,1.00589722717747,0.812777646966486,1.27135703918723,0.803253460223947,1.24972161987927,1.56718037164794,0.0056988377150834,45.1657128555301,-70.111319847136,1,1
107204271,107204271,7,242,248,176.5,270,1.01809954751131,0.722507755402492,1.12605042016807,0.711743772241993,1.08695652173913,1.57738095238095,0.00654514918000395,43.5958939738377,-71.157803977864,2,2
107204287,107204287,3,264.5,264,176,299,1.00145348837209,0.681578947368421,1.13824289405685,0.670833333333333,1.12464589235127,1.7317880794702,0.00671235689717131,43.6587760045552,-71.5246735443022,1,1
107204587,107204587,3,265.5,270,176.5,302.5,0.99135446685879,0.654471544715447,1.13839285714286,0.666666666666667,1.14525139664804,1.74368231046931,0.00650627727787057,43.4899499795707,-71.1502562061475,1,1
107204611,107204611,2,258,266,173.5,290.5,1.01598093909809,0.671890857295469,1.14189091658934,0.667140151515152,1.12508384296705,1.71188869077942,0.00663547688407894,43.5468607431323,-71.4680392450059,1,1
107204653,107204653,57,263,263,181,274,1,0.696385542168675,1.06145976785363,0.689804772234273,1.06482006680532,1.54838709677419,0.00572860992758314,43.6306717769824,-71.3438962679662,2,2
107204833,107204833,6,267.75,268,183,301.75,0.997354497354497,0.678752497429001,1.14199214644446,0.680675134764016,1.10312454293136,1.67578412371039,0.00614743769637662,43.5491014414117,-71.5199179130287,1,1
111888875,111888875,1,276,273,185,317,1.02654867256637,0.665454545454545,1.25,0.661616161616162,1.20873786407767,1.90217391304348,0.00689193446754883,42.9170996718036,-72.4395814938791,1,1
112379569,112379569,3,338.5,412,278,386,1.19152273589134,0.790770855461549,1.14823336666225,0.674147727272727,0.952,1.42033684038822,0.0041382039803303,42.252093122565,-78.2921575719949,4,4
112383507,112383507,1,406.5,574,395.5,401,1.38819205853812,0.949346681310017,1.03573823092764,0.689234220973437,0.716456329045509,1.0417568821528,0.00256274755757146,42.0559491581601,-78.8906923018298,3,3
