station_nm,Latitude,Longitude,site_no,N_samples,B1,B2,B3,B4,B2.B1,B3.B1,B4.B1,B3.B2,B4.B2,B4.B3,B4.B3.B1,cluster
87959174,43.11099922,-76.46919977,96,407,348,456,320,337,1.29389313,0.900928793,0.965517241,0.71082391,0.739495798,1.055837563,0.003072111,3
87959174,43.13730792,-76.48589464,105,406,330,405.5,281.5,341,1.224753811,0.841982864,1.056329665,0.689655172,0.862954404,1.243458728,0.003769446,2
87961508,42.84509857,-76.3503023,62,395,405,355,203,317,0.891428571,0.505643341,0.789598109,0.569358178,0.884462151,1.58839779,0.003686348,1
87961508,42.90000348,-76.40000344,69,381,407,359,201,318,0.890718563,0.506738544,0.790254237,0.566985646,0.903865213,1.556231003,0.003800519,1
87961532,42.79531716,-76.49902224,53,383,348,382,234,326,1.078224101,0.65625,0.955932203,0.607017544,0.890784983,1.469135802,0.0041702,2
87961532,42.87379734,-76.52819814,68,363,358,390,228,296,1.066528067,0.625954198,0.820448878,0.580858086,0.784810127,1.325167038,0.003628916,2
87961872,42.77192026,-77.30954858,50,218,362.5,371.5,226.5,331.5,1.022575745,0.604589562,0.914374044,0.598525045,0.89442437,1.524027123,0.004190286,1
87961872,42.77799801,-77.30509839,51,210,356,362.5,221,318,1.01399906,0.606274131,0.891381342,0.587608181,0.87406779,1.509948246,0.004170985,1
87964232,42.55516782,-76.59750148,37,561,367,382,229,293,1.042857143,0.615384615,0.821727019,0.592814371,0.787401575,1.347058824,0.003625618,2
87964232,42.8177509,-76.72570956,60,408,390.5,420,236.5,272,1.066250255,0.600395257,0.715803768,0.566356804,0.667352448,1.17509076,0.002801689,2
87964828,42.49353412,-77.14037474,36,382,350.5,347.5,219,321.5,1.014978214,0.622594504,0.960454297,0.616215007,0.948061919,1.545227273,0.004333718,1
87965156,42.44240161,-76.88469881,34,561,367,376,231,325,1.020618557,0.625,0.901098901,0.629063098,0.888402626,1.401273885,0.003856624,2
87965156,42.57350364,-76.9125994,38,357,375,382,250,342,0.997237569,0.632075472,0.888613861,0.638461538,0.902325581,1.411016949,0.003749292,2
87965156,42.6458035,-76.87359564,39,457,337,340,200,298,0.990797546,0.570765661,0.869127517,0.574144487,0.874587459,1.525,0.004347826,1
87965156,42.86227057,-76.96196165,64,210,406.5,426.5,280.5,346.5,1.031665044,0.66127244,0.834520251,0.647529412,0.822965828,1.292189438,0.003202165,2
89363169,43.91799841,-74.21589561,462,511,231,251,187,342,1.06763285,0.836879433,1.549668874,0.784688995,1.45625,1.928721174,0.007990431,4
89363377,43.88299893,-73.71109862,444,370,232,241,155,295.5,1.019356449,0.692959624,1.289957093,0.676991605,1.254324623,1.926691729,0.008242658,5
89363377,43.89036982,-73.67063228,450,393,250,269,184,317,1.053511706,0.747524752,1.29338843,0.711111111,1.22556391,1.786666667,0.006971301,5
89363405,43.88079613,-73.58310012,441,397,259,254,169,333,1.033222591,0.685840708,1.37012987,0.665127021,1.313559322,2.037433155,0.00771719,1
89364675,43.75642734,-73.78070073,389,191,240,249,174,285,0.996078431,0.695067265,1.169139466,0.699386503,1.164444444,1.632653061,0.006680553,1
89364675,43.77479884,-73.77799851,399,195,263,269,193,292,0.99127907,0.716157205,1.096153846,0.716332378,1.103174603,1.519685039,0.005737495,1
89364675,43.83064908,-73.75552464,418,355,258,260,186,315,0.995934959,0.704918033,1.17167382,0.710526316,1.153846154,1.64548495,0.006058543,1
89364961,43.71609923,-73.70259957,349,187,258,263,176,325,1.030732861,0.702970297,1.297491039,0.674015748,1.25,1.854251012,0.006816633,1
89364961,43.726373,-73.68882095,363,182,255,261.5,178.5,308,1.028412039,0.70421954,1.246863863,0.693116029,1.203112311,1.806439394,0.006348377,1
89365151,43.67944097,-73.86026893,322,181,262,281,214,332,1.04494382,0.772020725,1.290849673,0.719402985,1.191881919,1.679166667,0.005725191,4
89365151,43.68019901,-73.86030014,323,184,256,281,212,326.5,1.056488203,0.760026619,1.299287998,0.732170893,1.199428559,1.732865086,0.006400599,5
