system:index,B1_median,B2_count,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,cloud_cover,cloud_qa_count,date,dissPermID,img_qual,included_RF,lat,loc_rowid,lon,nd_median,pixel_qa_median,radsat_qa_median,sensor,solar_az,solar_zen,sr_atmos_opacity_median,sr_cloud_qa_median,.geo
1_LT05_012029_19840518_000000000000000002ae,284.0,16,306.0,269.0,285.0,159.0,2786.0,89.0,5.0,0,1984-05-18,118181778,7.0,y,44.885025821518795,945,-70.8863517421344,-0.3627254509018036,68.0,0.0,LANDSAT_5,130.761963,32.929779,13.0,32.0,
1_LT05_012029_19840518_000000000000000002af,349.0,11,408.0,365.0,443.0,249.0,2831.0,121.0,5.0,6,1984-05-18,152430340,7.0,y,44.88541376331044,946,-69.09671828894021,-0.2420091324200913,68.0,0.0,LANDSAT_5,130.761963,32.929779,50.0,4.0,
1_LT05_012029_19840518_000000000000000002b1,282.0,16,313.0,273.0,321.0,112.0,2792.0,55.0,5.0,0,1984-05-18,118181326,7.0,y,44.8888561893237,948,-70.60372054006383,-0.4256410256410256,68.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,32.0,
1_LT05_012029_19840518_000000000000000002b7,254.0,15,273.0,239.0,251.0,88.0,2781.0,56.0,5.0,0,1984-05-18,118181450,7.0,y,44.904998135137184,954,-70.80940103525508,-0.5124653739612188,68.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,32.0,
1_LT05_012029_19840518_000000000000000002ba,361.0,15,427.0,381.0,488.0,253.0,2826.0,223.0,5.0,0,1984-05-18,152430568,7.0,y,44.913176126469196,957,-69.54601285198436,-0.25588235294117645,66.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,0.0,
1_LT05_012029_19840518_000000000000000002be,270.0,15,307.0,240.0,286.0,112.0,2776.0,90.0,5.0,0,1984-05-18,118181450,7.0,y,44.9244308975281,963,-70.79312085730895,-0.4666666666666667,68.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,32.0,
1_LT05_012029_19840518_000000000000000002c3,366.0,8,429.0,413.0,523.0,301.0,2802.0,225.0,5.0,0,1984-05-18,152430810,7.0,y,44.93001815114806,969,-69.94941880608752,-0.17534246575342466,66.0,0.0,LANDSAT_5,130.761963,32.929779,8.0,0.0,
1_LT05_012029_19840518_000000000000000002d0,280.0,16,313.0,272.0,322.0,112.0,2786.0,56.0,5.0,0,1984-05-18,118181374,7.0,y,44.946646138976355,985,-70.99079726610925,-0.47294117647058825,68.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,32.0,
1_LT05_012029_19840518_000000000000000002d7,271.0,16,308.0,271.0,286.0,136.0,2776.0,90.0,5.0,0,1984-05-18,118181450,7.0,y,44.95596566017806,992,-70.80215499604323,-0.4321503131524008,68.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,32.0,
1_LT05_012029_19840518_000000000000000002e9,286.0,16,307.0,300.0,320.0,112.0,2786.0,89.0,5.0,0,1984-05-18,{4439E4A4-3A6C-4788-8036-7168D9647245},7.0,y,44.98668440733525,1015,-70.83231635556874,-0.46411483253588515,68.0,0.0,LANDSAT_5,130.761963,32.929779,13.0,36.0,
1_LT05_012029_19840518_000000000000000002f3,488.0,9,564.0,500.0,556.0,301.0,2802.0,223.0,5.0,0,1984-05-18,152429935,7.0,y,45.02645512963093,1028,-69.3127974077881,-0.3040462427745665,68.0,0.0,LANDSAT_5,130.761963,32.929779,8.0,0.0,
1_LT05_012029_19840518_000000000000000002f4,281.0,17,278.0,242.0,286.0,88.0,2797.0,56.0,5.0,0,1984-05-18,118181374,7.0,y,45.0332017495248,1029,-71.0161561738002,-0.5191256830601093,68.0,0.0,LANDSAT_5,130.761963,32.929779,10.0,32.0,
1_LT05_012029_19840518_000000000000000002f5,490.0,1,565.0,501.0,556.0,324.0,2821.0,223.0,5.0,7,1984-05-18,152429935,7.0,y,45.035351036232555,1030,-69.29168802340108,-0.27109111361079863,96.0,0.0,LANDSAT_5,130.761963,32.929779,8.0,0.0,
1_LT05_012029_19840518_000000000000000002f7,285.0,15,305.0,236.0,284.0,111.0,2807.0,90.0,5.0,0,1984-05-18,91153185,7.0,y,45.0389004806711,1032,-71.31809974253324,-0.46634615384615385,68.0,0.0,LANDSAT_5,130.761963,32.929779,23.0,36.0,
1_LT05_012029_19840518_00000000000000000301,291.0,15,310.0,271.0,286.0,88.0,2807.0,56.0,5.0,0,1984-05-18,118181374,7.0,y,45.08276019863279,1047,-70.99439576065939,-0.5151515151515151,68.0,0.0,LANDSAT_5,130.761963,32.929779,12.0,32.0,
